TOT_POP,0-9,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),ICU Beds_x,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
55601,6787,6878,7089,7582,7738,5826,4050,2014,42660,681,62,55601,4204,12119,10552,7587,25957,25015,942,21.24906079,6,55036,10523,42438,20181,15193,3644,5462,1326,3345
14523,331,374,532,389,1635,488,246,296,2795,31,146,14523,396,516,563,21069,2693,1126,31,83.32157211,51,203360,53519,170912,68790,50761,14692,20520,5479,13414
24881,2732,3268,3201,3074,3278,3076,2244,1048,12209,113,46,24881,4901,6486,4566,6788,8373,7940,433,9.508783681,5,26201,6150,19689,11325,8013,2373,3870,887,2159
22400,2456,3029,3113,3038,3115,2545,1723,785,17211,53,26,22400,2650,7471,3846,4400,8661,8317,344,8.560618723,0,22580,4773,17813,9190,6894,1789,2511,595,1533
57840,7095,6742,6884,7474,7844,6965,4931,2335,55456,185,70,57840,7861,13489,13267,7527,25006,24128,878,22.10474049,6,57667,13600,44448,20584,15112,4661,6017,1507,4101
10138,1198,1395,1446,1274,1356,1219,703,417,2661,19,76,10138,1760,2817,1582,3610,4776,4552,224,3.874444313,0,10478,2371,8001,4853,3664,873,1651,360,804
19680,2351,2286,2337,2318,2491,2683,1660,1093,10283,259,10,19680,2141,6091,3421,4731,8914,8487,427,7.521115021,7,20126,5151,15302,8891,6304,1741,2841,662,1588
114277,13141,15463,13865,13727,15325,14641,8979,4499,86026,1102,126,114277,12620,25653,26643,502,45972,43833,2139,43.6732958,24,115527,27115,89582,48041,36639,9158,13182,3204,8146
33615,3869,4380,3734,4078,4761,4492,2972,1517,19182,446,15,33615,4383,9060,7003,6181,15276,14679,597,12.84666064,0,33895,8501,26623,14836,10410,2870,4664,1068,2618
26032,2554,2852,2504,3204,3873,3946,2835,1283,24217,88,8,26032,3692,7157,5417,4180,11622,11207,415,9.948661902,0,25855,7513,21042,11769,8227,2540,3353,814,2282
44153,5652,5566,5233,5655,5932,5359,3334,1604,38459,215,77,44153,5302,13125,7147,7542,19476,18773,703,16.87397315,6,43805,9429,33662,18925,13599,3672,5115,1185,3181
12841,1324,1402,1289,1478,1947,1824,1371,717,7343,23,0,12841,1754,3606,2851,2806,4694,4434,260,4.907451117,0,13188,3759,10274,5876,4408,1212,1976,464,1135
23920,2704,2911,2557,2871,3419,2996,2220,1197,12781,104,5,23920,3175,7372,4205,5381,7627,7057,570,9.141517851,0,24625,6134,18725,10741,7584,2161,3575,811,2003
13275,1420,1543,1455,1604,1991,1799,1214,685,11046,32,0,13275,2275,3366,2700,2285,5963,5730,233,5.073313105,4,13407,3480,10587,5575,3801,1287,1732,418,1117
14987,1829,1687,1665,1930,2113,1851,1358,649,14234,33,11,14987,2364,4135,2518,2356,5743,5499,244,5.727588965,0,14939,3691,11575,5959,4294,1332,1665,416,1146
51909,6605,6312,6586,6896,6662,5958,3963,2099,39368,849,0,51909,4833,9723,12181,7053,20817,19995,822,19.83808738,7,51073,11027,39629,20571,14266,3564,5596,1302,3258
54762,6248,6811,6424,6666,7508,7290,4847,2650,44138,323,41,54762,6016,13927,11459,7459,23258,22184,1074,20.92841976,22,54435,14062,43392,23618,16489,4484,6429,1542,4065
12277,1367,1410,1260,1335,1754,1726,1308,683,6339,26,4,12277,1703,4315,1881,2979,4494,4259,235,4.691906967,0,12649,3542,9727,5764,4202,1239,1994,464,1139
10715,928,1165,1028,1379,1750,1746,1137,559,7167,15,18,10715,1675,3178,2424,1973,4376,4193,183,4.09495668,0,10955,3145,8938,5115,3665,1075,1662,385,997
36986,4438,4187,4094,4178,5141,5037,3508,2006,31269,172,4,36986,4530,9368,8588,7239,15617,14902,715,14.13495733,13,37519,10290,28897,14939,10865,3202,4557,1096,2983
13824,1682,1649,1557,1648,1913,1828,1181,602,10062,155,6,13824,2091,3753,2326,2661,6298,6041,257,5.283124698,0,13866,3371,10664,5616,3903,1184,1745,411,1050
83442,10276,10389,9926,10335,11234,10452,7221,3353,79985,561,72,83442,10405,20382,18559,11925,37830,36589,1241,31.88906909,12,81703,19667,64685,31416,21605,7008,8840,2195,5947
48956,6386,7013,6312,5688,6222,5750,3752,1915,36119,695,104,48956,4732,10924,12036,7743,20120,19274,846,18.70953796,6,49393,10498,37709,20251,16366,3609,5427,1294,3257
38310,4767,4753,4298,4154,5259,5112,3059,1563,10630,223,17,38310,5135,9368,8076,11841,14860,13887,973,14.64095104,18,40755,9436,29189,17157,12318,3327,6160,1392,3103
71385,8929,8600,8219,9344,9397,8595,5624,2668,66184,368,0,71385,12394,15956,13441,14975,30129,28979,1150,27.28123962,12,71194,15782,54197,28324,19186,6766,8479,2082,5694
81887,9635,11143,11007,11003,11202,9251,5758,2529,61800,581,95,81887,7594,18304,16197,8559,37215,35932,1283,31.29479399,5,80989,15929,63676,33116,22541,5393,8072,1892,4793
36748,4526,4757,4606,4695,4863,4319,3054,1501,22792,112,23,36748,4792,11546,6340,8022,14352,13696,656,14.04400075,14,37621,8677,28529,15357,10755,3270,4944,1148,2914
102501,11836,12828,11852,13307,13726,13446,8812,4251,82796,852,0,102501,11147,23665,24416,17509,43096,41328,1768,39.17285624,56,103132,25122,80504,43607,29786,8502,12221,2878,7643
16433,1878,1966,1777,1994,2235,2258,1595,787,14076,72,0,16433,2060,4868,3273,3801,6482,6215,267,6.280207477,12,16657,4604,12961,6463,4510,1522,2009,504,1356
31363,4182,3921,3654,4141,4041,3554,2389,1266,28738,107,78,31363,4835,7666,5632,5939,14203,13673,530,11.98601272,7,31507,7054,23668,12243,8520,2634,3496,862,2285
26314,2981,2859,2953,3249,3627,3643,2414,1252,22951,90,19,26314,3891,6924,5720,5537,10851,10425,426,10.05643398,6,26572,6716,20546,11517,8835,2553,3429,829,2268
8233,993,996,866,798,1098,1287,750,447,1519,22,0,8233,1406,2149,1689,2459,2838,2647,191,3.146409551,0,8533,2352,6408,3996,2922,859,1641,369,802
14726,1888,1884,1623,1601,2022,1936,1201,705,5988,42,2,14726,1647,4292,2711,3705,5991,5686,305,5.62784247,0,14995,3945,11332,6560,5167,1292,2265,516,1187
17209,1841,1812,1914,2157,2247,2568,1734,886,12280,64,4,17209,2412,4081,3487,3037,6766,6466,300,6.576771768,0,17110,4834,13662,7147,4918,1501,2272,547,1380
